country;year;pps
Belgium;2008;116
Belgium;2009;118
Belgium;2010;121
Belgium;2011;119
Belgium;2012;121
Belgium;2013;121
Belgium;2014;121
Belgium;2015;121
Belgium;2016;120
Belgium;2017;118
Belgium;2018;118
Belgium;2019;118
Belgium;2020;119
Belgium;2021;122
Bulgaria;2008;43
Bulgaria;2009;44
Bulgaria;2010;45
Bulgaria;2011;46
Bulgaria;2012;47
Bulgaria;2013;46
Bulgaria;2014;47
Bulgaria;2015;48
Bulgaria;2016;49
Bulgaria;2017;50
Bulgaria;2018;52
Bulgaria;2019;53
Bulgaria;2020;55
Bulgaria;2021;55
Czechia;2008;86
Czechia;2009;87
Czechia;2010;84
Czechia;2011;84
Czechia;2012;84
Czechia;2013;85
Czechia;2014;88
Czechia;2015;89
Czechia;2016;89
Czechia;2017;91
Czechia;2018;92
Czechia;2019;93
Czechia;2020;93
Czechia;2021;92
Denmark;2008;127
Denmark;2009;127
Denmark;2010;131
Denmark;2011;129
Denmark;2012;128
Denmark;2013;130
Denmark;2014;129
Denmark;2015;128
Denmark;2016;128
Denmark;2017;130
Denmark;2018;129
Denmark;2019;127
Denmark;2020;135
Denmark;2021;133
Germany;2008;118
Germany;2009;118
Germany;2010;121
Germany;2011;124
Germany;2012;124
Germany;2013;125
Germany;2014;127
Germany;2015;124
Germany;2016;125
Germany;2017;124
Germany;2018;124
Germany;2019;121
Germany;2020;123
Germany;2021;119
Estonia;2008;70
Estonia;2009;64
Estonia;2010;66
Estonia;2011;71
Estonia;2012;74
Estonia;2013;76
Estonia;2014;78
Estonia;2015;76
Estonia;2016;77
Estonia;2017;79
Estonia;2018;81
Estonia;2019;82
Estonia;2020;84
Estonia;2021;87
Ireland;2008;135
Ireland;2009;130
Ireland;2010;131
Ireland;2011;131
Ireland;2012;133
Ireland;2013;133
Ireland;2014;138
Ireland;2015;181
Ireland;2016;176
Ireland;2017;182
Ireland;2018;190
Ireland;2019;190
Ireland;2020;209
Ireland;2021;221
Greece;2008;95
Greece;2009;95
Greece;2010;85
Greece;2011;75
Greece;2012;71
Greece;2013;72
Greece;2014;72
Greece;2015;70
Greece;2016;68
Greece;2017;67
Greece;2018;66
Greece;2019;66
Greece;2020;62
Greece;2021;65
Spain;2008;102
Spain;2009;101
Spain;2010;96
Spain;2011;93
Spain;2012;91
Spain;2013;90
Spain;2014;90
Spain;2015;91
Spain;2016;92
Spain;2017;93
Spain;2018;91
Spain;2019;91
Spain;2020;84
Spain;2021;84
France;2008;108
France;2009;109
France;2010;109
France;2011;109
France;2012;108
France;2013;110
France;2014;108
France;2015;107
France;2016;106
France;2017;104
France;2018;104
France;2019;106
France;2020;104
France;2021;104
Croatia;2008;64
Croatia;2009;63
Croatia;2010;61
Croatia;2011;61
Croatia;2012;61
Croatia;2013;61
Croatia;2014;60
Croatia;2015;61
Croatia;2016;62
Croatia;2017;64
Croatia;2018;65
Croatia;2019;66
Croatia;2020;64
Croatia;2021;70
Italy;2008;108
Italy;2009;108
Italy;2010;106
Italy;2011;105
Italy;2012;104
Italy;2013;101
Italy;2014;98
Italy;2015;97
Italy;2016;99
Italy;2017;98
Italy;2018;97
Italy;2019;96
Italy;2020;94
Italy;2021;95
Cyprus;2008;107
Cyprus;2009;106
Cyprus;2010;102
Cyprus;2011;97
Cyprus;2012;91
Cyprus;2013;84
Cyprus;2014;81
Cyprus;2015;83
Cyprus;2016;88
Cyprus;2017;90
Cyprus;2018;91
Cyprus;2019;92
Cyprus;2020;88
Cyprus;2021;88
Latvia;2008;60
Latvia;2009;53
Latvia;2010;54
Latvia;2011;56
Latvia;2012;61
Latvia;2013;63
Latvia;2014;64
Latvia;2015;65
Latvia;2016;66
Latvia;2017;67
Latvia;2018;69
Latvia;2019;69
Latvia;2020;70
Latvia;2021;71
Lithuania;2008;64
Lithuania;2009;57
Lithuania;2010;61
Lithuania;2011;67
Lithuania;2012;71
Lithuania;2013;74
Lithuania;2014;76
Lithuania;2015;75
Lithuania;2016;76
Lithuania;2017;79
Lithuania;2018;81
Lithuania;2019;84
Lithuania;2020;87
Lithuania;2021;88
Luxembourg;2008;279
Luxembourg;2009;272
Luxembourg;2010;274
Luxembourg;2011;274
Luxembourg;2012;277
Luxembourg;2013;279
Luxembourg;2014;283
Luxembourg;2015;282
Luxembourg;2016;278
Luxembourg;2017;269
Luxembourg;2018;262
Luxembourg;2019;254
Luxembourg;2020;263
Luxembourg;2021;277
Hungary;2008;64
Hungary;2009;65
Hungary;2010;66
Hungary;2011;67
Hungary;2012;67
Hungary;2013;68
Hungary;2014;69
Hungary;2015;70
Hungary;2016;69
Hungary;2017;69
Hungary;2018;71
Hungary;2019;73
Hungary;2020;74
Hungary;2021;76
Malta;2008;81
Malta;2009;84
Malta;2010;87
Malta;2011;84
Malta;2012;87
Malta;2013;90
Malta;2014;92
Malta;2015;98
Malta;2016;97
Malta;2017;102
Malta;2018;102
Malta;2019;103
Malta;2020;97
Malta;2021;98
Netherlands;2008;143
Netherlands;2009;140
Netherlands;2010;137
Netherlands;2011;135
Netherlands;2012;136
Netherlands;2013;137
Netherlands;2014;133
Netherlands;2015;131
Netherlands;2016;129
Netherlands;2017;129
Netherlands;2018;129
Netherlands;2019;128
Netherlands;2020;132
Netherlands;2021;132
Austria;2008;127
Austria;2009;128
Austria;2010;128
Austria;2011;129
Austria;2012;133
Austria;2013;133
Austria;2014;132
Austria;2015;131
Austria;2016;130
Austria;2017;127
Austria;2018;128
Austria;2019;126
Austria;2020;124
Austria;2021;121
Poland;2008;56
Poland;2009;60
Poland;2010;63
Poland;2011;66
Poland;2012;67
Poland;2013;67
Poland;2014;68
Poland;2015;69
Poland;2016;69
Poland;2017;70
Poland;2018;71
Poland;2019;73
Poland;2020;76
Poland;2021;77
Portugal;2008;82
Portugal;2009;83
Portugal;2010;83
Portugal;2011;78
Portugal;2012;76
Portugal;2013;77
Portugal;2014;77
Portugal;2015;78
Portugal;2016;78
Portugal;2017;77
Portugal;2018;78
Portugal;2019;79
Portugal;2020;76
Portugal;2021;74
Romania;2008;52
Romania;2009;52
Romania;2010;52
Romania;2011;52
Romania;2012;54
Romania;2013;55
Romania;2014;56
Romania;2015;56
Romania;2016;60
Romania;2017;64
Romania;2018;66
Romania;2019;69
Romania;2020;72
Romania;2021;73
Slovenia;2008;91
Slovenia;2009;86
Slovenia;2010;85
Slovenia;2011;84
Slovenia;2012;83
Slovenia;2013;83
Slovenia;2014;83
Slovenia;2015;83
Slovenia;2016;84
Slovenia;2017;86
Slovenia;2018;87
Slovenia;2019;88
Slovenia;2020;89
Slovenia;2021;90
Slovakia;2008;72
Slovakia;2009;72
Slovakia;2010;76
Slovakia;2011;76
Slovakia;2012;77
Slovakia;2013;77
Slovakia;2014;78
Slovakia;2015;78
Slovakia;2016;73
Slovakia;2017;70
Slovakia;2018;70
Slovakia;2019;69
Slovakia;2020;70
Slovakia;2021;68
Finland;2008;123
Finland;2009;119
Finland;2010;118
Finland;2011;119
Finland;2012;117
Finland;2013;115
Finland;2014;113
Finland;2015;111
Finland;2016;111
Finland;2017;111
Finland;2018;111
Finland;2019;109
Finland;2020;113
Finland;2021;113
Sweden;2008;129
Sweden;2009;126
Sweden;2010;128
Sweden;2011;130
Sweden;2012;130
Sweden;2013;128
Sweden;2014;127
Sweden;2015;128
Sweden;2016;124
Sweden;2017;122
Sweden;2018;120
Sweden;2019;119
Sweden;2020;123
Sweden;2021;123
Iceland;2008;133
Iceland;2009;131
Iceland;2010;121
Iceland;2011;119
Iceland;2012;120
Iceland;2013;123
Iceland;2014;124
Iceland;2015;129
Iceland;2016;132
Iceland;2017;130
Iceland;2018;128
Iceland;2019;127
Iceland;2020;120
Iceland;2021;
Norway;2008;190
Norway;2009;174
Norway;2010;176
Norway;2011;180
Norway;2012;187
Norway;2013;186
Norway;2014;178
Norway;2015;158
Norway;2016;145
Norway;2017;150
Norway;2018;156
Norway;2019;145
Norway;2020;140
Norway;2021;
Switzerland;2008;165
Switzerland;2009;167
Switzerland;2010;166
Switzerland;2011;169
Switzerland;2012;172
Switzerland;2013;173
Switzerland;2014;173
Switzerland;2015;173
Switzerland;2016;168
Switzerland;2017;162
Switzerland;2018;160
Switzerland;2019;157
Switzerland;2020;160
Switzerland;2021;
United Kingdom;2008;112
United Kingdom;2009;110
United Kingdom;2010;111
United Kingdom;2011;108
United Kingdom;2012;110
United Kingdom;2013;111
United Kingdom;2014;111
United Kingdom;2015;111
United Kingdom;2016;109
United Kingdom;2017;107
United Kingdom;2018;107
United Kingdom;2019;107
United Kingdom;2020;104
United Kingdom;2021;
Montenegro;2008;42
Montenegro;2009;41
Montenegro;2010;41
Montenegro;2011;42
Montenegro;2012;40
Montenegro;2013;41
Montenegro;2014;41
Montenegro;2015;43
Montenegro;2016;45
Montenegro;2017;46
Montenegro;2018;48
Montenegro;2019;50
Montenegro;2020;45
Montenegro;2021;
North Macedonia;2008;32
North Macedonia;2009;35
North Macedonia;2010;35
North Macedonia;2011;34
North Macedonia;2012;34
North Macedonia;2013;35
North Macedonia;2014;36
North Macedonia;2015;36
North Macedonia;2016;37
North Macedonia;2017;37
North Macedonia;2018;38
North Macedonia;2019;38
North Macedonia;2020;38
North Macedonia;2021;
Albania;2008;25
Albania;2009;28
Albania;2010;29
Albania;2011;30
Albania;2012;30
Albania;2013;29
Albania;2014;30
Albania;2015;30
Albania;2016;30
Albania;2017;30
Albania;2018;30
Albania;2019;30
Albania;2020;30
Albania;2021;
Serbia;2008;39
Serbia;2009;39
Serbia;2010;39
Serbia;2011;40
Serbia;2012;40
Serbia;2013;41
Serbia;2014;40
Serbia;2015;39
Serbia;2016;39
Serbia;2017;39
Serbia;2018;40
Serbia;2019;41
Serbia;2020;43
Serbia;2021;
Turkey;2008;49
Turkey;2009;48
Turkey;2010;53
Turkey;2011;57
Turkey;2012;59
Turkey;2013;62
Turkey;2014;65
Turkey;2015;68
Turkey;2016;66
Turkey;2017;66
Turkey;2018;63
Turkey;2019;59
Turkey;2020;62
Turkey;2021;
Bosnia and Herzegovina;2008;29
Bosnia and Herzegovina;2009;30
Bosnia and Herzegovina;2010;30
Bosnia and Herzegovina;2011;30
Bosnia and Herzegovina;2012;30
Bosnia and Herzegovina;2013;31
Bosnia and Herzegovina;2014;30
Bosnia and Herzegovina;2015;31
Bosnia and Herzegovina;2016;31
Bosnia and Herzegovina;2017;31
Bosnia and Herzegovina;2018;32
Bosnia and Herzegovina;2019;32
Bosnia and Herzegovina;2020;33
Bosnia and Herzegovina;2021;
United States;2008;156
United States;2009;152
United States;2010;153
United States;2011;151
United States;2012;153
United States;2013;152
United States;2014;153
United States;2015;153
United States;2016;146
United States;2017;144
United States;2018;145
United States;2019;145
United States;2020;136
United States;2021;
Japan;2008;108
Japan;2009;105
Japan;2010;106
Japan;2011;106
Japan;2012;110
Japan;2013;112
Japan;2014;109
Japan;2015;108
Japan;2016;99
Japan;2017;97
Japan;2018;95
Japan;2019;93
Japan;2020;91
Japan;2021;
