country;year;individuals_purchasing_online_in_percentage
Austria;2008;37
Austria;2009;41
Austria;2010;42
Austria;2011;44
Austria;2012;48
Austria;2013;54
Austria;2014;53
Austria;2015;58
Austria;2016;58
Austria;2017;62
Austria;2018;60
Austria;2019;62
Austria;2020;66
Austria;2021;63
Belgium;2008;21
Belgium;2009;36
Belgium;2010;38
Belgium;2011;43
Belgium;2012;45
Belgium;2013;48
Belgium;2014;54
Belgium;2015;55
Belgium;2016;57
Belgium;2017;60
Belgium;2018;61
Belgium;2019;66
Belgium;2020;73
Belgium;2021;75
Bulgaria;2008;3
Bulgaria;2009;5
Bulgaria;2010;5
Bulgaria;2011;7
Bulgaria;2012;9
Bulgaria;2013;12
Bulgaria;2014;17
Bulgaria;2015;18
Bulgaria;2016;17
Bulgaria;2017;18
Bulgaria;2018;21
Bulgaria;2019;22
Bulgaria;2020;31
Bulgaria;2021;33
Croatia;2008;7
Croatia;2009;10
Croatia;2010;14
Croatia;2011;17
Croatia;2012;23
Croatia;2013;26
Croatia;2014;28
Croatia;2015;31
Croatia;2016;33
Croatia;2017;29
Croatia;2018;35
Croatia;2019;45
Croatia;2020;55
Croatia;2021;57
Cyprus;2008;9
Cyprus;2009;16
Cyprus;2010;18
Cyprus;2011;21
Cyprus;2012;21
Cyprus;2013;25
Cyprus;2014;27
Cyprus;2015;23
Cyprus;2016;29
Cyprus;2017;32
Cyprus;2018;32
Cyprus;2019;39
Cyprus;2020;47
Cyprus;2021;54
Czechia;2008;23
Czechia;2009;24
Czechia;2010;27
Czechia;2011;30
Czechia;2012;33
Czechia;2013;36
Czechia;2014;43
Czechia;2015;45
Czechia;2016;47
Czechia;2017;56
Czechia;2018;59
Czechia;2019;64
Czechia;2020;72
Czechia;2021;75
Denmark;2008;59
Denmark;2009;64
Denmark;2010;68
Denmark;2011;70
Denmark;2012;73
Denmark;2013;77
Denmark;2014;78
Denmark;2015;79
Denmark;2016;82
Denmark;2017;80
Denmark;2018;84
Denmark;2019;84
Denmark;2020;89
Denmark;2021;91
Estonia;2008;10
Estonia;2009;17
Estonia;2010;17
Estonia;2011;20
Estonia;2012;23
Estonia;2013;23
Estonia;2014;49
Estonia;2015;59
Estonia;2016;56
Estonia;2017;58
