country;year;individuals_purchasing_online_in_percentage;populatie;pps;aantal_online_shoppers;online_shoppers_pps_adjusted
Austria;2008;37;8321496;127;3078954;3910271
Austria;2009;41;8343323;128;3420762;4378576
Austria;2010;42;8363404;128;3512630;4496166
Austria;2011;44;8391643;129;3692323;4763097
Austria;2012;48;8429991;133;4046396;5381706
Austria;2013;54;8479823;133;4579104;6090209
Austria;2014;53;8546356;132;4529569;5979031
Austria;2015;58;8642699;131;5012765;6566723
Austria;2016;58;8736668;130;5067267;6587448
Austria;2017;62;8797566;127;5454491;6927203
Austria;2018;60;8840521;128;5304313;6789520
Austria;2019;62;8879920;126;5505550;6936994
Austria;2020;66;8916864;124;5885130;7297561
Belgium;2008;21;10709973;116;2249094;2608949
Belgium;2009;36;10796493;118;3886737;4586350
Belgium;2010;38;10895586;121;4140323;5009790
Belgium;2011;43;11038264;119;4746454;5648280
Belgium;2012;45;11106932;121;4998119;6047724
Belgium;2013;48;11159407;121;5356515;6481384
Belgium;2014;54;11209057;121;6052891;7323998
Belgium;2015;55;11274196;121;6200808;7502977
Belgium;2016;57;11331422;120;6458911;7750693
Belgium;2017;60;11375158;118;6825095;8053612
Belgium;2018;61;11427054;118;6970503;8225193
Belgium;2019;66;11488980;118;7582727;8947618
Belgium;2020;73;11544241;119;8427296;10028482
Bulgaria;2008;3;7492561;43;224777;96654
Bulgaria;2009;5;7444443;44;372222;163778
Bulgaria;2010;5;7395599;45;369780;166401
Bulgaria;2011;7;7348328;46;514383;236616
Bulgaria;2012;9;7305888;47;657530;309039
Bulgaria;2013;12;7265115;46;871814;401034
Bulgaria;2014;17;7223938;47;1228069;577193
Bulgaria;2015;18;7177991;48;1292038;620178
Bulgaria;2016;17;7127822;49;1211730;593748
Bulgaria;2017;18;7075947;50;1273670;636835
Bulgaria;2018;21;7025037;52;1475258;767134
Bulgaria;2019;22;6975761;53;1534667;813374
Bulgaria;2020;31;6934015;55;2149545;1182250
Croatia;2008;7;4309705;64;301679;193075
Croatia;2009;10;4305181;63;430518;271226
Croatia;2010;14;4295427;61;601360;366829
Croatia;2011;17;4280622;61;727706;443901
Croatia;2012;23;4267558;61;981538;598738
Croatia;2013;26;4255689;61;1106479;674952
Croatia;2014;28;4238389;60;1186749;712049
Croatia;2015;31;4203604;61;1303117;794902
Croatia;2016;33;4174349;62;1377535;854072
Croatia;2017;29;4124531;64;1196114;765513
Croatia;2018;35;4087843;65;1430745;929984
Croatia;2019;45;4065253;66;1829364;1207380
Croatia;2020;55;4047680;64;2226224;1424783
Cyprus;2008;9;1081568;107;97341;104155
Cyprus;2009;16;1098089;106;175694;186236
Cyprus;2010;18;1112617;102;200271;204276
Cyprus;2011;21;1124837;97;236216;229129
Cyprus;2012;21;1135046;91;238360;216907
Cyprus;2013;25;1143866;84;285966;240212
Cyprus;2014;27;1152297;81;311120;252007
Cyprus;2015;23;1160987;83;267027;221632
Cyprus;2016;29;1170189;88;339355;298632
Cyprus;2017;32;1179685;90;377499;339749
Cyprus;2018;32;1189262;91;380564;346313
Cyprus;2019;39;1198574;92;467444;430048
Cyprus;2020;47;1207361;88;567460;499365
Czechia;2008;23;10384603;86;2388459;2054074
Czechia;2009;24;10443936;87;2506545;2180694
Czechia;2010;27;10474410;84;2828091;2375596
Czechia;2011;30;10496088;84;3148826;2645014
Czechia;2012;33;10510785;84;3468559;2913590
Czechia;2013;36;10514272;85;3785138;3217367
Czechia;2014;43;10525347;88;4525899;3982791
Czechia;2015;45;10546059;89;4745727;4223697
Czechia;2016;47;10566332;89;4966176;4419897
Czechia;2017;56;10594438;91;5932885;5398926
Czechia;2018;59;10629928;92;6271658;5769925
Czechia;2019;64;10671870;93;6829997;6351897
Czechia;2020;72;10697858;93;7702458;7163286
Denmark;2008;59;5493621;127;3241236;4116370
Denmark;2009;64;5523095;127;3534781;4489172
Denmark;2010;68;5547683;131;3772424;4941876
Denmark;2011;70;5570572;129;3899400;5030227
Denmark;2012;73;5591572;128;4081848;5224765
Denmark;2013;77;5614932;130;4323498;5620547
Denmark;2014;78;5643475;129;4401910;5678465
Denmark;2015;79;5683483;128;4489952;5747138
Denmark;2016;82;5728010;128;4696968;6012119
Denmark;2017;80;5764980;130;4611984;5995579
Denmark;2018;84;5793636;129;4866654;6277984
Denmark;2019;84;5814422;127;4884114;6202825
Denmark;2020;89;5831404;135;5189950;7006432
Estonia;2008;10;1337090;70;133709;93596
Estonia;2009;17;1334515;64;226868;145195
Estonia;2010;17;1331475;66;226351;149391
Estonia;2011;20;1327439;71;265488;188496
Estonia;2012;23;1322696;74;304220;225123
Estonia;2013;23;1317997;76;303139;230386
Estonia;2014;49;1314545;78;644127;502419
Estonia;2015;59;1315407;76;776090;589828
Estonia;2016;56;1315790;77;736842;567369
Estonia;2017;58;1317384;79;764083;603625
Estonia;2018;61;1321977;81;806406;653189
Estonia;2019;68;1326855;82;902261;739854
